turbine_id,line_id,section_id,diameter,length,mass,thickness,cost_rate
1,A,chain_bottom,83,40,5.5,,0
1,B,chain_bottom,84,39.9,5.6,,0
1,C,chain_bottom,96,38.4,7.1,,0
1,D,chain_bottom,96,38.3,7.1,,0
1,E,chain_bottom,71,39.5,4,,0
1,F,chain_bottom,71,39.7,4,,0
2,A,chain_bottom,82,44.1,5.9,,0
2,B,chain_bottom,82,44,5.9,,0
2,C,chain_bottom,96,40.8,7.5,,0
2,D,chain_bottom,96,40.8,7.5,,0
2,E,chain_bottom,69,44.4,4.2,,0
2,F,chain_bottom,69,44.5,4.2,,0
3,A,chain_bottom,81,45.7,6,,0
3,B,chain_bottom,81,45.7,6,,0
3,C,chain_bottom,96,44.8,8.3,,0
3,D,chain_bottom,97,44.8,8.4,,0
3,E,chain_bottom,68,46.4,4.3,,0
3,F,chain_bottom,68,46.4,4.3,,0
1,A,polyester,123,1202.8,12.4,,0
1,B,polyester,123,1203.4,12.4,,0
1,C,polyester,123,1215.5,12.5,,0
1,D,polyester,123,1216.1,12.5,,0
1,E,polyester,123,1205.2,12.4,,0
1,F,polyester,123,1203.9,12.4,,0
2,A,polyester,123,1174.9,12.1,,0
2,B,polyester,123,1175.5,12.1,,0
2,C,polyester,123,1198.6,12.3,,0
2,D,polyester,123,1198.6,12.3,,0
2,E,polyester,123,1171.3,12,,0
2,F,polyester,123,1170.8,12,,0
3,A,polyester,123,1163.3,11.9,,0
3,B,polyester,123,1163.3,11.9,,0
3,C,polyester,123,1171.2,12,,0
3,D,polyester,123,1171.2,12,,0
3,E,polyester,123,1157.5,11.9,,0
3,F,polyester,123,1157.6,11.9,,0
1,A,chain_top,83,135.7,18.7,,0
1,B,chain_top,84,135.6,19.1,,0
1,C,chain_top,96,134.9,24.9,,0
1,D,chain_top,96,134.9,24.9,,0
1,E,chain_top,71,135.4,13.7,,0
1,F,chain_top,71,135.5,13.7,,0
2,A,chain_top,82,137.6,18.5,,0
2,B,chain_top,82,137.6,18.5,,0
2,C,chain_top,96,136,25.1,,0
2,D,chain_top,96,136,25.1,,0
2,E,chain_top,69,137.8,13.1,,0
2,F,chain_top,69,137.8,13.1,,0
3,A,chain_top,81,138.5,18.2,,0
3,B,chain_top,81,138.5,18.2,,0
3,C,chain_top,96,138,25.4,,0
3,D,chain_top,97,138,26,,0
3,E,chain_top,68,138.8,12.8,,0
3,F,chain_top,68,138.8,12.8,,0
1,A,suction_anchor,2340,14.04,54.23,0.053,0
1,B,suction_anchor,2590,12.95,62.35,0.058,0
1,C,suction_anchor,2590,12.94,62.21,0.058,0
1,D,suction_anchor,2340,14.03,54.06,0.053,0
1,E,suction_anchor,2600,12.98,62.69,0.058,0
1,F,suction_anchor,2350,14.08,54.61,0.053,0
2,A,suction_anchor,2330,13.98,53.5,0.053,0
2,B,suction_anchor,2330,13.98,53.53,0.053,0
2,C,suction_anchor,2150,15.07,48.74,0.049,0
2,D,suction_anchor,2580,12.9,61.66,0.058,0
2,E,suction_anchor,2590,12.93,62.03,0.058,0
2,F,suction_anchor,2330,14,53.72,0.053,0
3,A,suction_anchor,1350,9.48,13.01,0.033,0
3,B,suction_anchor,1420,8.52,13.04,0.035,0
3,C,suction_anchor,2570,12.87,61.24,0.058,0
3,D,suction_anchor,2320,13.91,52.71,0.053,0
3,E,suction_anchor,1430,8.55,13.16,0.035,0
3,F,suction_anchor,1360,9.5,13.11,0.033,0